  id  |                                                 name                                                 |         created_at         |         updated_at         | external_id 
 3280 | All Boys                                                                                             | 2012-08-01 09:00:54.308589 | 2012-08-06 12:58:54.600892 | 161732
 3060 | Sp Covilha                                                                                           | 2012-08-01 09:00:53.71381  | 2012-08-01 09:00:53.71713  | 
 3036 | Oliveirense                                                                                          | 2012-08-01 09:00:53.660857 | 2012-08-06 12:58:47.82623  | 1785
 3096 | Bnei Sakhnin                                                                                         | 2012-08-01 09:00:53.729692 | 2012-08-01 09:00:53.733054 | 
 3100 | Melbourne Victory                                                                                    | 2012-08-01 09:00:53.759637 | 2012-08-06 12:59:02.180658 | 6230
 3339 | SJ Earthquakes                                                                                       | 2012-08-01 09:00:54.742538 | 2012-08-24 09:08:50.227759 | 6603
 3141 | Karabukspor                                                                                          | 2012-08-01 09:00:53.838694 | 2012-08-16 00:30:58.673984 | 4113
 3099 | Adeladie Utd                                                                                         | 2012-08-01 09:00:53.752081 | 2012-08-01 09:00:53.755239 | 
 3119 | Melbourne Heart                                                                                      | 2012-08-01 09:00:53.792136 | 2012-08-06 12:59:02.186795 | 203576
 3116 | Manisaspor                                                                                           | 2012-08-01 09:00:53.767695 | 2012-08-01 09:00:53.77169  | 
 3147 | Kerkyra                                                                                              | 2012-08-01 09:00:53.886554 | 2012-08-06 13:01:15.897292 | 8541
 3118 | Ballymena                                                                                            | 2012-08-01 09:00:53.784266 | 2012-08-01 09:00:53.787599 | 
 3140 | Eskisehirspor                                                                                        | 2012-08-01 09:00:53.831003 | 2012-08-06 13:01:00.96348  | 7966
 3136 | Equitorial Guinea                                                                                    | 2012-08-01 09:00:53.799754 | 2012-08-01 09:00:53.803087 | 
 3137 | Volendam                                                                                             | 2012-08-01 09:00:53.807586 | 2012-08-01 09:00:53.811052 | 
 3138 | Ankaragucu                                                                                           | 2012-08-01 09:00:53.815471 | 2012-08-01 09:00:53.819026 | 
 3274 | W Neustadt                                                                                           | 2012-08-01 09:00:54.258695 | 2012-08-24 09:12:29.316771 | 1953
 4343 | Nova Iguacu                                                                                          | 2013-02-02 01:15:40.728502 | 2013-02-02 01:15:40.733967 | 
 3117 | Levadiakos                                                                                           | 2012-08-01 09:00:53.77648  | 2012-08-06 13:01:15.81601  | 4493
 3142 | Orduspor                                                                                             | 2012-08-01 09:00:53.846281 | 2012-08-16 00:30:58.913822 | 4529
 3270 | Anzhi                                                                                                | 2012-08-01 09:00:54.2211   | 2012-08-23 12:27:32.701826 | 8707
 3143 | Samsunspor                                                                                           | 2012-08-01 09:00:53.853554 | 2012-08-01 09:00:53.856585 | 
 3263 | Kalmar                                                                                               | 2012-08-01 09:00:54.114565 | 2012-08-09 12:49:29.038799 | 9892
 3145 | Doxa Drama                                                                                           | 2012-08-01 09:00:53.870733 | 2012-08-01 09:00:53.874283 | 
 3144 | Atromitos                                                                                            | 2012-08-01 09:00:53.860776 | 2012-08-06 13:01:15.903404 | 10187
 3260 | Atvidaberg                                                                                           | 2012-08-01 09:00:54.085115 | 2012-08-09 12:51:25.220016 | 6622
 3156 | Emelec                                                                                               | 2012-08-01 09:00:53.902093 | 2012-08-01 09:00:53.905496 | 
 3157 | Olimpia                                                                                              | 2012-08-01 09:00:53.911012 | 2012-08-01 09:00:53.915041 | 
 3158 | Holstein Kiel                                                                                        | 2012-08-01 09:00:53.919566 | 2012-08-01 09:00:53.922919 | 
 3159 | Energie Cottbus                                                                                      | 2012-08-01 09:00:53.927523 | 2012-08-01 09:00:53.930783 | 
 3176 | Fortuna Sittard                                                                                      | 2012-08-01 09:00:53.934925 | 2012-08-01 09:00:53.937994 | 
 3177 | African Warriors                                                                                     | 2012-08-01 09:00:53.942327 | 2012-08-01 09:00:53.945613 | 
 3178 | Black Aces                                                                                           | 2012-08-01 09:00:53.949871 | 2012-08-01 09:00:53.953726 | 
 3179 | Witbank Spurs                                                                                        | 2012-08-01 09:00:53.958314 | 2012-08-01 09:00:53.961496 | 
 3180 | The Dolphins                                                                                         | 2012-08-01 09:00:53.965763 | 2012-08-01 09:00:53.969315 | 
